preset_short_label,n_tracks,spectral_mae_db_mean,spectral_mae_db_std,spectral_mae_db_min,spectral_mae_db_max,spectral_rmse_db_mean,spectral_rmse_db_std,spectral_rmse_db_min,spectral_rmse_db_max,spectral_bias_db_mean,spectral_bias_db_std,spectral_bias_db_min,spectral_bias_db_max,spectral_corr_mean,spectral_corr_std,spectral_corr_min,spectral_corr_max,mae_20_200_db_mean,mae_20_200_db_std,mae_20_200_db_min,mae_20_200_db_max,mae_200_2000_db_mean,mae_200_2000_db_std,mae_200_2000_db_min,mae_200_2000_db_max,mae_2000_8000_db_mean,mae_2000_8000_db_std,mae_2000_8000_db_min,mae_2000_8000_db_max,mae_8000_20000_db_mean,mae_8000_20000_db_std,mae_8000_20000_db_min,mae_8000_20000_db_max,peak_dbfs_mean,peak_dbfs_std,peak_dbfs_min,peak_dbfs_max,rms_dbfs_mean,rms_dbfs_std,rms_dbfs_min,rms_dbfs_max,crest_factor_db_mean,crest_factor_db_std,crest_factor_db_min,crest_factor_db_max
128 CBR,89,8.855335994,1.085758975,2.850620508,12.64815044,17.4816553,2.202132796,5.224888802,25.21710968,-8.754424781,1.088916939,-12.62436199,-2.756213665,0.901599505,0.027825465,0.762543206,0.987391473,0.444491269,0.026865068,0.380477339,0.571366787,0.434354473,0.004673801,0.423377156,0.443464279,0.285973412,0.036785283,0.215074122,0.370131791,11.01348767,1.221029379,3.958039284,14.82176399,3.875393297,0.844020057,-2.38472,5.3936524,-8.759441117,1.846476241,-16.42059,-5.4077334,12.63483436,1.497619174,10.134746,19.938938
192 CBR,89,5.058255155,0.672144877,1.494295597,7.508671761,12.48068539,1.773772409,2.882073402,18.92112923,-5.043291999,0.675104485,-7.49666214,-1.409340501,0.910416813,0.026393917,0.762760198,0.995364775,0.261503166,0.004666531,0.248572066,0.276937753,0.262180217,0.001122639,0.259551048,0.265621364,0.232464168,0.009781983,0.207961574,0.255911916,4.090352938,0.413892293,1.552791715,5.446774006,3.37440408,0.690545749,-2.2191758,4.4361095,-8.590350774,1.847296969,-16.262247,-5.237987,11.96475481,1.578606284,9.303885,19.654556
320 CBR,89,2.613548695,0.42553557,0.635050893,4.087162971,8.681135833,1.404778365,1.835617661,13.70710564,-2.563196029,0.428141759,-4.064641476,-0.522308886,0.922854142,0.025377805,0.7805216,0.996243914,0.001813541,0.001487065,0.000632062,0.008011649,0.002329268,0.000496041,0.001254464,0.003639393,0.007453126,0.00198662,0.00399718,0.011958385,0.075094155,0.031445342,0.030959528,0.195338249,3.225897845,0.618032419,-1.9596881,4.9559326,-8.32832582,1.847467001,-16.003256,-4.97666,11.55422358,1.631657486,8.619994,19.305326
V0,89,0.370070948,0.201725546,0.05659895,1.570522785,1.071717452,0.517211403,0.104025707,3.057457209,-0.259771073,0.215868201,-1.431005001,0.050621241,0.997608832,0.001703316,0.991948798,0.999979683,0.003593639,0.003887241,0.000831716,0.019877266,0.004070545,0.001131988,0.001784639,0.010454646,0.014512462,0.006825568,0.005387844,0.068125084,0.202322269,0.212597069,0.039969623,1.92365706,3.306800389,0.617991421,-1.8927541,4.441133,-8.327810075,1.847565407,-16.002853,-4.9753675,11.63461051,1.625321882,8.9802475,19.521248
V2,89,5.052703193,0.620237961,2.553514481,7.40527916,12.5157483,1.665363963,4.856953621,18.91716194,-4.934034656,0.621066701,-7.287509918,-2.302561283,0.911781008,0.026610495,0.762427052,0.988559426,0.012691951,0.014234862,0.001951891,0.079195976,0.010960165,0.002243483,0.007468812,0.022499336,0.038619522,0.013212344,0.021386636,0.130743057,4.218610764,0.345620618,2.914776087,5.401394367,3.822037545,0.776593934,-1.9508541,5.4129767,-8.328860998,1.847740306,-16.003822,-4.975884,12.15089848,1.505112738,9.531573,19.878948
V5,89,9.145532466,1.101026097,3.13374114,12.79774666,17.61855564,2.18119894,5.665532589,25.2448082,-8.59423587,1.088566608,-12.23303413,-2.569658279,0.902808971,0.02786979,0.761049477,0.984654007,0.059247161,0.061688741,0.00521054,0.293582588,0.042519888,0.006170328,0.026545038,0.057490036,0.250302212,0.036136798,0.150768772,0.34413752,11.62852777,1.26374967,4.547507286,15.192976,4.649873263,0.950691157,-1.8526459,6.5174584,-8.313844308,1.848527821,-15.978565,-4.951418,12.96371752,1.389742453,10.815756,20.321873
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,preset_short_label,n_tracks,spectral_mae_db_mean,mae_20_200_db_mean,mae_200_2000_db_mean,mae_2000_8000_db_mean,mae_8000_20000_db_mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,128 CBR,89,8.855335994,0.444491269,0.434354473,0.285973412,11.01348767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,192 CBR,89,5.058255155,0.261503166,0.262180217,0.232464168,4.090352938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,320 CBR,89,2.613548695,0.001813541,0.002329268,0.007453126,0.075094155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,V0,89,0.370070948,0.003593639,0.004070545,0.014512462,0.202322269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,V2,89,5.052703193,0.012691951,0.010960165,0.038619522,4.218610764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,V5,89,9.145532466,0.059247161,0.042519888,0.250302212,11.62852777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,